date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:30:51	218298/218298	---M--	200	added ('OK')	application/javascript	date:Sat,%2002%20Mar%202019%2005:53:31%20GMT	https://song-spells.com/js/scripts.min.js	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/js/scripts.min.js	(from https://song-spells.com/)
09:30:51	7799/7799	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd490a-1e77%22	https://cdnjs.cloudflare.com/ajax/libs/fastclick/1.0.6/fastclick.min.js	C:/Mijn%20Web%20paginas/Smile&Magie/cdnjs.cloudflare.com/ajax/libs/fastclick/1.0.6/fastclick.min.js	(from https://song-spells.com/)
09:30:52	720592/720592	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Sep%202019%2005:29:20%20GMT	https://song-spells.com/img/gallery/moana/01.jpg	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/img/gallery/moana/01.jpg	(from https://song-spells.com/)
09:30:52	2532/2532	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd494c-9e4%22	https://cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.4.1/jquery.easing.min.js	C:/Mijn%20Web%20paginas/Smile&Magie/cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.4.1/jquery.easing.min.js	(from https://song-spells.com/)
09:30:52	1965648/1965648	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Sep%202019%2005:29:13%20GMT	https://song-spells.com/img/cta/cta-group.jpg	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/img/cta/cta-group.jpg	(from https://song-spells.com/)
09:30:52	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jul%202020%2007:30:52%20GMT	https://song-spells.com/css/owl.video.play.png	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/css/owl.video.play.28.delayed	(from https://song-spells.com/css/styles.css)
09:30:53	696/696	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2013%20Sep%202019%2005:29:10%20GMT	https://song-spells.com/img/overlay.svg	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/img/overlay.svg	(from https://song-spells.com/css/styles.css)
09:30:54	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Jul%202020%2007:30:53%20GMT	http://png-4.findicons.com/files/icons/2315/default_icon/256/media_play_pause_resume.png	C:/Mijn%20Web%20paginas/Smile&Magie/png-4.findicons.com/files/icons/2315/default_icon/256/media_play_pause_resume.2b.delayed	(from https://song-spells.com/css/styles.css)
09:30:54	664394/664394	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Sep%202019%2005:29:25%20GMT	https://song-spells.com/img/gallery/belle/01.jpg	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/img/gallery/belle/01.jpg	(from https://song-spells.com/)
09:30:54	1527/1527	---M--	200	added ('OK')	image/png	etag:%22674d174e499200df52c947b6142b86ec%22	https://png-4.findicons.com/files/icons/2315/default_icon/256/media_play_pause_resume.png	C:/Mijn%20Web%20paginas/Smile&Magie/png-4.findicons.com/files/icons/2315/default_icon/256/media_play_pause_resume.png	(from https://song-spells.com/css/styles.css)
